## blobtools v0.9.19
## assembly	: /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.fas
## coverage	: spades - /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.fas
## taxonomy	: tax0 - /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.blast
## nodesDB	: None
## taxrule	: bestsum
##
# name	length	GC	N	spades	superkingdom.t.6	superkingdom.s.7	superkingdom.c.8	phylum.t.9	phylum.s.10	phylum.c.11	order.t.12	order.s.13	order.c.14	family.t.15	family.s.16	family.c.17	genus.t.18	genus.s.19	genus.c.20	species.t.21	species.s.22	species.c.23
DRR031554_2_length_995_cov_13.983	995	0.4623	0	13.983	Eukaryota	17939.0	0	Ascomycota	17939.0	0	Eurotiales	16123.0	1	Aspergillaceae	16123.0	1	Penicillium	10825.0	2	Aspergillus niger	5298.0	5
DRR031554_3_length_657_cov_14.7176	657	0.5023	0	14.718	Eukaryota	9930.0	0	Ascomycota	9930.0	0	Saccharomycetales	3926.0	3	Saccharomycetaceae	3926.0	4	Zygosaccharomyces	2949.0	6	Zygosaccharomyces rouxii	2949.0	7
DRR031554_4_length_261_cov_0.441748	261	0.5977	0	0.442	Bacteria	4809.0	0	Actinobacteria	4809.0	0	Bifidobacteriales	4809.0	0	Bifidobacteriaceae	4809.0	0	Bifidobacterium	4809.0	0	Bifidobacterium thermophilum	1932.0	5
DRR031554_5_length_252_cov_2.52792	252	0.5873	0	2.528	Bacteria	4365.0	0	Actinobacteria	4365.0	0	Bifidobacteriales	4365.0	0	Bifidobacteriaceae	4365.0	0	Bifidobacterium	4365.0	0	uncultured Bifidobacterium sp.	2035.0	3
DRR031554_6_length_235_cov_2.72222	235	0.5447	0	2.722	Bacteria	4180.0	0	Proteobacteria	4180.0	0	Rhodospirillales	3745.0	1	Acetobacteraceae	3745.0	1	Acetobacter	2005.0	2	Acetobacter pasteurianus	2005.0	5
DRR031555_1_length_948_cov_14.5344	948	0.5148	0	14.534	Bacteria	15961.0	0	Proteobacteria	15961.0	0	Rhizobiales	15961.0	0	Bartonellaceae	9356.0	1	Bartonella	9356.0	1	uncultured Rhizobiales bacterium	6605.0	4
DRR031555_2_length_665_cov_53.6503	665	0.4767	0	53.65	Eukaryota	11407.0	0	Ascomycota	11407.0	0	Eurotiales	11407.0	0	Aspergillaceae	10256.0	1	Penicillium	8010.0	2	Penicillium namyslowskii	2313.0	6
DRR031555_3_length_663_cov_42.5302	663	0.4615	0	42.53	Eukaryota	11218.0	0	Ascomycota	10095.0	1	Eurotiales	5585.0	3	Aspergillaceae	5585.0	3	Aspergillus	5585.0	3	Aspergillus niger	4460.0	5
DRR031555_4_length_634_cov_6.53245	634	0.5252	0	6.532	Bacteria	10235.0	0	Firmicutes	10235.0	0	Lactobacillales	10235.0	0	Lactobacillaceae	10235.0	0	Lactobacillus	6487.0	1	Pediococcus damnosus	3748.0	5
DRR031555_5_length_508_cov_12.6126	508	0.5472	0	12.613	Bacteria	8616.0	0	Proteobacteria	8616.0	0	Rhizobiales	8616.0	0	Bartonellaceae	8616.0	0	Bartonella	8616.0	0	Bartonella tribocorum	2577.0	5
DRR031555_6_length_254_cov_1.76018	254	0.5394	0	1.76	Bacteria	3501.0	0	Firmicutes	3501.0	0	Lactobacillales	3227.0	1	Lactobacillaceae	3227.0	1	Lactobacillus	3227.0	1	uncultured Lactobacillus sp.	2012.0	3
DRR031555_7_length_201_cov_85.2857	201	0.5423	0	85.286	Eukaryota	3454.0	0	Ascomycota	2752.0	1	Eurotiales	2752.0	1	Aspergillaceae	2752.0	1	Penicillium	1741.0	2	Aspergillus niger	1011.0	6
DRR031555_8_length_190_cov_15.0191	190	0.5789	0	15.019	Bacteria	3393.0	0	Proteobacteria	3393.0	0	Rhizobiales	2691.0	1	Bartonellaceae	1638.0	2	Bartonella	1638.0	2	Bartonella quintana	1638.0	2
DRR031555_9_length_139_cov_6.14151	139	0.518	0	6.142	Bacteria	2221.0	1	Firmicutes	1476.0	2	Bacillales	1476.0	2	Staphylococcaceae	1476.0	2	Salinicoccus	1476.0	2	uncultured bacterium	745.0	5
DRR031555_10_length_103_cov_212.786	103	0.5825	0	212.786	Eukaryota	1691.0	0	Ascomycota	1691.0	0	Eurotiales	1031.0	2	Aspergillaceae	860.0	3	Penicillium	684.0	4	unresolved	342.0	7
DRR031555_11_length_66_cov_119.848	66	0.4545	0	119.848	Eukaryota	1105.0	0	Ascomycota	495.0	2	Saccharomycetales	495.0	2	Moniliellaceae	488.0	3	Moniliella	488.0	3	Saccharomyces cerevisiae	297.0	6
DRR031555_12_length_57_cov_12.5833	57	0.5439	0	12.583	Eukaryota	1060.0	0	unresolved	424.0	2	Polypodiales	424.0	4	unresolved	318.0	5	Saccharomyces	318.0	7	Saccharomyces cerevisiae	318.0	7
DRR031555_13_length_45_cov_22.8333	45	0.4667	0	22.833	Eukaryota	842.0	0	Chordata	757.8	1	Rodentia	252.6	5	Muridae	252.6	6	unresolved	168.4	7	unresolved	168.4	7
DRR031556_1_length_609_cov_182.405	609	0.5304	0	182.405	Bacteria	11070.0	0	Proteobacteria	9961.0	1	Enterobacterales	9961.0	1	Enterobacteriaceae	4446.0	3	Enterobacter	4446.0	3	Pectobacterium carotovorum	3309.0	5
DRR031556_2_length_203_cov_140.365	203	0.5517	0	140.365	Bacteria	3705.0	0	Proteobacteria	3330.0	1	Enterobacterales	3330.0	1	Enterobacteriaceae	3330.0	1	Salmonella	3330.0	1	Salmonella enterica	2960.0	2
DRR031556_3_length_201_cov_214.458	201	0.5721	0	214.458	Bacteria	3720.0	0	Proteobacteria	2232.0	1	unresolved	1488.0	2	Bacteria-undef	1488.0	3	Bacteria-undef	1488.0	5	uncultured bacterium	1488.0	6
DRR031557_1_length_548_cov_181.062	548	0.4672	0	181.062	Eukaryota	10011.0	0	Ascomycota	5061.0	1	Eurotiales	5061.0	1	Aspergillaceae	5061.0	1	Penicillium	5061.0	1	Penicillium expansum	2026.0	8
DRR031557_2_length_456_cov_123.695	456	0.4539	0	123.695	Eukaryota	8161.0	0	Ascomycota	5691.0	1	Eurotiales	5691.0	1	Aspergillaceae	4870.0	2	Penicillium	4870.0	2	uncultured fungus	1662.0	7
DRR031557_3_length_352_cov_152.94	352	0.4801	0	152.94	Eukaryota	5698.0	0	Ascomycota	3394.0	1	Eukaryota-undef	2304.0	4	Eukaryota-undef	2304.0	5	Eukaryota-undef	2304.0	5	uncultured fungus	1748.0	7
DRR031557_4_length_218_cov_1.48649	218	0.5183	0	1.486	Bacteria	3915.0	0	Firmicutes	3915.0	0	Bacillales	3915.0	0	Staphylococcaceae	3915.0	0	Staphylococcus	3915.0	0	Staphylococcus hyicus	1955.0	2
DRR031557_5_length_195_cov_117.346	195	0.5128	0	117.346	Eukaryota	3503.0	0	Ascomycota	3503.0	0	Eurotiales	3503.0	0	Aspergillaceae	3503.0	0	Penicillium	3503.0	0	Penicillium chrysogenum	722.0	7
DRR031558_1_length_537_cov_18.6171	537	0.4823	0	18.617	Eukaryota	9652.0	0	Ascomycota	5820.0	1	Eurotiales	5820.0	1	Aspergillaceae	5820.0	1	Aspergillus	5820.0	1	Aspergillus ustus	977.0	9
DRR031558_2_length_287_cov_100.732	287	0.5157	0	100.732	Bacteria	5306.0	0	Firmicutes	5306.0	0	Bacillales	5306.0	0	Staphylococcaceae	5306.0	0	Staphylococcus	5306.0	0	Staphylococcus epidermidis	3713.0	2
DRR031558_3_length_274_cov_19.7261	274	0.5365	0	19.726	Eukaryota	4491.0	0	Ascomycota	3596.0	2	Eurotiales	3596.0	2	Aspergillaceae	3596.0	2	Aspergillus	2697.0	4	Aspergillus niger	1332.0	7
DRR031558_4_length_270_cov_15.1603	270	0.5185	0	15.16	Eukaryota	4916.0	0	Ascomycota	4916.0	0	Eurotiales	4916.0	0	Aspergillaceae	4916.0	0	Aspergillus	4916.0	0	Aspergillus niger	1464.0	6
DRR031558_5_length_238_cov_64.1707	238	0.5084	0	64.171	Bacteria	4400.0	0	Firmicutes	4400.0	0	Bacillales	4400.0	0	Staphylococcaceae	4400.0	0	Staphylococcus	4400.0	0	Staphylococcus epidermidis	4400.0	0
DRR031558_6_length_226_cov_21.285	226	0.469	0	21.285	Eukaryota	4017.0	0	Eukaryota-undef	2425.0	1	Eukaryota-undef	2425.0	1	Eukaryota-undef	2425.0	1	Eukaryota-undef	2425.0	1	uncultured fungus	1613.0	2
DRR031558_7_length_221_cov_43.0213	221	0.5566	0	43.021	Bacteria	4090.0	0	Firmicutes	4090.0	0	Bacillales	4090.0	0	Staphylococcaceae	4090.0	0	Staphylococcus	4090.0	0	Staphylococcus epidermidis	3272.0	2
DRR031558_8_length_118_cov_107.329	118	0.4576	0	107.329	Eukaryota	2114.0	0	Arthropoda	2114.0	0	Hymenoptera	1246.0	1	Carabidae	868.0	6	unresolved	217.0	9	unresolved	217.0	9
DRR031558_9_length_86_cov_51.0189	86	0.5349	0	51.019	Eukaryota	1543.0	0	Arthropoda	1543.0	0	Hymenoptera	477.0	6	Formicidae	477.0	7	unresolved	159.0	9	unresolved	159.0	9
DRR031558_10_length_72_cov_45.3333	72	0.5	0	45.333	Eukaryota	1340.0	0	Arthropoda	1072.0	2	unresolved	268.0	5	unresolved	268.0	7	Bombyx	268.0	8	Bombyx mori	268.0	8
DRR031559_1_length_378_cov_280.913	378	0.5265	0	280.913	Bacteria	6968.0	0	Proteobacteria	6968.0	0	Enterobacterales	6968.0	0	Morganellaceae	6968.0	0	Providencia	6968.0	0	Providencia alcalifaciens	1398.0	7
DRR031559_2_length_367_cov_59.3832	367	0.5177	0	59.383	Bacteria	5795.0	0	Proteobacteria	5235.0	1	Rhizobiales	4636.0	2	Rhizobiales-undef	2396.0	4	Rhizobiales-undef	2396.0	4	uncultured Rhizobiales bacterium	2396.0	4
DRR031559_3_length_332_cov_253.492	332	0.5211	0	253.492	Bacteria	5970.0	0	Proteobacteria	5362.0	1	Enterobacterales	5362.0	1	Morganellaceae	2432.0	3	Providencia	2432.0	4	Providencia alcalifaciens	1216.0	6
DRR031559_4_length_259_cov_25.5973	259	0.5019	0	25.597	Eukaryota	4424.0	0	Eukaryota-undef	4424.0	0	Kinetoplastida	4424.0	0	Trypanosomatidae	4424.0	0	Leishmania	2784.0	2	Trypanosoma cruzi	1176.0	5
DRR031559_5_length_241_cov_297.63	241	0.5519	0	297.63	Bacteria	4335.0	0	Proteobacteria	3889.0	1	Enterobacterales	3889.0	1	Morganellaceae	3889.0	1	Providencia	3889.0	1	Providencia rettgeri	1693.0	4
DRR031559_6_length_241_cov_186.404	241	0.527	0	186.404	Bacteria	4320.0	0	Proteobacteria	4320.0	0	Enterobacterales	4320.0	0	Morganellaceae	3885.0	1	Morganella	3015.0	3	Morganella morganii	2580.0	4
DRR031559_7_length_232_cov_30.2412	232	0.4957	0	30.241	Eukaryota	3654.0	0	Eukaryota-undef	3654.0	0	Kinetoplastida	3654.0	0	Trypanosomatidae	3654.0	0	Crithidia	1287.0	3	Crithidia mellificae	1287.0	4
DRR031559_8_length_226_cov_5.1399	226	0.5575	0	5.14	Bacteria	4180.0	0	Proteobacteria	4180.0	0	Rhizobiales	4180.0	0	Bartonellaceae	4180.0	0	Bartonella	4180.0	0	Bartonella sp.	1672.0	3
DRR031559_9_length_185_cov_30.6711	185	0.4486	0	30.671	Eukaryota	2285.0	0	Eukaryota-undef	2285.0	0	Kinetoplastida	2285.0	0	Trypanosomatidae	2285.0	0	Lotmaria	1710.0	1	Lotmaria passim	1710.0	2
DRR031560_1_length_1265_cov_5.07386	1265	0.5083	0	5.074	Bacteria	22820.0	0	Firmicutes	22820.0	0	Lactobacillales	22820.0	0	Lactobacillaceae	22820.0	0	Lactobacillus	20954.0	1	Lactobacillus kunkeei	20954.0	1
DRR031560_2_length_420_cov_14.1034	420	0.4667	0	14.103	Eukaryota	7628.0	0	Ascomycota	7628.0	0	Eurotiales	7628.0	0	Aspergillaceae	6863.0	1	Penicillium	6098.0	2	Penicillium decumbens	1508.0	8
DRR031560_3_length_360_cov_15.4465	360	0.4444	0	15.447	Eukaryota	6593.0	0	Ascomycota	3298.0	1	Eukaryota-undef	3295.0	2	Eukaryota-undef	3295.0	3	Eukaryota-undef	3295.0	3	Penicillium namyslowskii	1330.0	8
DRR031560_4_length_301_cov_28.959	301	0.4784	0	28.959	Eukaryota	5370.0	0	Ascomycota	4290.0	1	Eurotiales	3750.0	2	Aspergillaceae	3750.0	2	Penicillium	2148.0	3	Aspergillus niger	1602.0	4
DRR031560_5_length_182_cov_43.1007	182	0.5385	0	43.101	Eukaryota	3205.0	0	Ascomycota	1935.0	1	Eurotiales	1935.0	1	Aspergillaceae	1297.0	2	Eukaryota-undef	1270.0	4	Aspergillus wentii	654.0	7
DRR031560_6_length_116_cov_147.084	116	0.4741	0	147.084	Eukaryota	2106.0	0	Arthropoda	2106.0	0	Hymenoptera	2106.0	0	Apidae	1065.0	5	Apis	426.0	8	Apis mellifera	426.0	8
DRR031560_7_length_59_cov_132.231	59	0.4237	0	132.231	Eukaryota	997.0	0	Arthropoda	649.0	1	Hymenoptera	550.0	2	Eukaryota-undef	348.0	4	Eukaryota-undef	348.0	4	uncultured eukaryote	348.0	4
DRR031561_1_length_587_cov_1.36278	587	0.4514	0	1.363	Eukaryota	9840.0	0	Ascomycota	7856.0	1	Eurotiales	6864.0	2	Aspergillaceae	5872.0	3	Penicillium	3946.0	4	uncultured fungus	1984.0	6
DRR031561_2_length_361_cov_0.254902	361	0.446	0	0.255	Eukaryota	6509.0	0	Ascomycota	4559.0	1	Eurotiales	4559.0	1	Aspergillaceae	4559.0	1	Aspergillus	4559.0	1	Aspergillus niger	1941.0	7
DRR031561_3_length_271_cov_0.277778	271	0.4834	0	0.278	Eukaryota	4603.0	0	Ascomycota	3220.0	1	Eurotiales	2760.0	2	Aspergillaceae	2300.0	3	Aspergillus	2300.0	3	Aspergillus niger	2300.0	4
DRR031561_4_length_60_cov_13.8	60	0.4167	0	13.8	Eukaryota	1006.7	0	Arthropoda	827.1	1	Hymenoptera	555.0	4	Apidae	333.0	6	Apis	333.0	6	Apis mellifera	333.0	6
DRR031562_1_length_581_cov_217.962	581	0.4733	0	217.962	Eukaryota	10655.0	0	Ascomycota	8541.0	1	Eurotiales	8541.0	1	Aspergillaceae	8541.0	1	Aspergillus	8541.0	1	Aspergillus niger	3171.0	6
DRR031562_2_length_307_cov_141.679	307	0.5668	0	141.679	Eukaryota	5491.2	0	Ascomycota	4092.0	3	Eurotiales	4092.0	4	Aspergillaceae	4092.0	5	Aspergillus	3572.0	6	Aspergillus niger	2012.0	10
DRR031562_3_length_303_cov_224.815	303	0.4818	0	224.815	Eukaryota	5465.0	0	Ascomycota	4927.0	1	Eurotiales	4927.0	1	Aspergillaceae	4927.0	1	Aspergillus	4372.0	2	Aspergillus niger	2152.0	6
DRR031562_4_length_245_cov_151.217	245	0.5347	0	151.217	Eukaryota	4485.0	0	Ascomycota	3579.0	1	Eurotiales	3579.0	1	Aspergillaceae	3579.0	1	Aspergillus	3579.0	1	Aspergillus niger	1332.0	5
DRR031563_1_length_464_cov_1.02689	464	0.5323	0	1.027	Bacteria	8380.0	0	Proteobacteria	8380.0	0	Rhizobiales	7523.0	1	Brucellaceae	4095.0	2	Ochrobactrum	4095.0	2	uncultured Rhizobiales bacterium	3428.0	6
DRR031563_2_length_430_cov_0.552	430	0.5279	0	0.552	Bacteria	7567.0	0	Firmicutes	7567.0	0	Lactobacillales	7567.0	0	Lactobacillaceae	7567.0	0	Lactobacillus	7567.0	0	uncultured Lactobacillus sp.	3156.0	4
DRR031563_3_length_387_cov_0.843373	387	0.4522	0	0.843	Eukaryota	6638.0	0	Ascomycota	4681.0	1	Xylariales	3380.0	3	Apiosporaceae	2704.0	4	Arthrinium	2704.0	4	Arthrinium phaeospermum	1352.0	7
DRR031563_4_length_383_cov_1.15549	383	0.4987	0	1.155	Bacteria	5929.0	0	Proteobacteria	5929.0	0	Rhizobiales	5929.0	0	Bartonellaceae	4717.0	1	Bartonella	4717.0	1	Bartonella bacilliformis	2316.0	4
DRR031563_5_length_329_cov_0.218978	329	0.5441	0	0.219	Bacteria	5035.0	0	Firmicutes	5035.0	0	Lactobacillales	5035.0	0	Lactobacillaceae	5035.0	0	Lactobacillus	5035.0	0	uncultured Lactobacillus sp.	2400.0	3
DRR031563_6_length_323_cov_0.186567	323	0.5573	0	0.187	Bacteria	4483.0	0	Firmicutes	4483.0	0	Lactobacillales	4161.0	1	Lactobacillaceae	4161.0	1	Lactobacillus	4161.0	1	uncultured Lactobacillus sp.	2985.0	2
DRR031563_7_length_300_cov_2.79184	300	0.48	0	2.792	Eukaryota	5047.0	0	Ascomycota	3530.0	1	Eukaryota-undef	1517.0	5	Eukaryota-undef	1517.0	5	Eukaryota-undef	1517.0	7	unresolved	510.0	9
DRR031563_8_length_258_cov_0.231527	258	0.6124	0	0.232	Bacteria	4750.0	0	Actinobacteria	4750.0	0	Bifidobacteriales	4750.0	0	Bifidobacteriaceae	4750.0	0	Bifidobacterium	4750.0	0	Bifidobacterium thermophilum	1908.0	5
DRR031563_9_length_247_cov_0.765625	247	0.5628	0	0.766	Bacteria	4540.0	0	Proteobacteria	3175.0	1	Rhizobiales	2261.0	2	Bartonellaceae	2261.0	2	Bartonella	2261.0	2	uncultured bacterium	1365.0	4
DRR031563_10_length_241_cov_0.317204	241	0.6224	0	0.317	Bacteria	4350.0	0	Actinobacteria	3926.0	1	Bifidobacteriales	3926.0	1	Bifidobacteriaceae	3926.0	1	Bifidobacterium	3926.0	1	Bifidobacterium pseudolongum	1696.0	5
DRR031563_11_length_235_cov_0.1	235	0.5021	0	0.1	Bacteria	4059.0	0	Proteobacteria	4059.0	0	Proteobacteria-undef	2175.0	2	Proteobacteria-undef	2175.0	2	Proteobacteria-undef	2175.0	3	uncultured gamma proteobacterium	2175.0	3
DRR031563_12_length_227_cov_0.133721	227	0.5374	0	0.134	Bacteria	4083.0	0	Proteobacteria	4083.0	0	Proteobacteria-undef	1680.0	2	Proteobacteria-undef	1680.0	2	Proteobacteria-undef	1680.0	2	uncultured gamma proteobacterium	1680.0	2
DRR031563_13_length_226_cov_0.479532	226	0.5265	0	0.48	Bacteria	3451.0	0	Proteobacteria	3451.0	0	Rhizobiales	3451.0	0	Brucellaceae	3096.0	1	Brucella	3096.0	1	Brucella abortus	1720.0	2
DRR031563_14_length_215_cov_0.50625	215	0.5163	0	0.506	Bacteria	3782.0	0	Firmicutes	3423.0	1	Lactobacillales	2635.0	2	Lactobacillaceae	2635.0	2	Lactobacillus	2635.0	2	uncultured Firmicutes bacterium	788.0	7
DRR031564_1_length_387_cov_275.184	387	0.553	0	275.184	Bacteria	7150.0	0	Firmicutes	7150.0	0	Bacillales	7150.0	0	Bacillaceae	7150.0	0	Bacillus	6435.0	1	Bacillus pumilus	4290.0	4
DRR031564_2_length_272_cov_138.079	272	0.5625	0	138.079	Bacteria	5023.0	0	Firmicutes	5023.0	0	Bacillales	5023.0	0	Bacillaceae	5023.0	0	Bacillus	4520.0	1	Bacillus pumilus	3018.0	4
DRR031564_3_length_265_cov_133.5	265	0.5547	0	133.5	Bacteria	4428.0	0	Firmicutes	4428.0	0	Bacillales	4428.0	0	Bacillaceae	4428.0	0	Bacillus	4428.0	0	Bacillus pumilus	1792.0	3
DRR031564_4_length_245_cov_173.83	245	0.5347	0	173.83	Bacteria	4480.0	0	Firmicutes	4480.0	0	Bacillales	4480.0	0	Bacillaceae	4480.0	0	Bacillus	4480.0	0	Bacillus pumilus	3584.0	2
DRR031564_5_length_216_cov_100.94	216	0.5185	0	100.94	Bacteria	3390.0	0	Firmicutes	3390.0	0	Bacillales	3390.0	0	Bacillaceae	3390.0	0	Bacillus	3390.0	0	Bacillus pumilus	3390.0	0
DRR031565_1_length_557_cov_82.2729	557	0.4686	0	82.273	Eukaryota	10022.0	0	Ascomycota	7021.0	1	Eurotiales	7021.0	1	Aspergillaceae	7021.0	1	Aspergillus	7021.0	1	Aspergillus niger	2988.0	6
DRR031565_2_length_450_cov_40.9353	450	0.4578	0	40.935	Eukaryota	7657.0	0	Ascomycota	6114.0	1	Eurotiales	6114.0	1	Aspergillaceae	4580.0	2	Penicillium	3813.0	4	uncultured fungus	1543.0	7
DRR031565_3_length_373_cov_196.491	373	0.5308	0	196.491	Bacteria	6836.0	0	Firmicutes	5468.0	2	Bacillales	5468.0	2	Bacillaceae	5468.0	2	Bacillus	4784.0	3	Bacillus simplex	2052.0	7
DRR031565_4_length_307_cov_32.208	307	0.5537	0	32.208	Eukaryota	5226.0	0	Ascomycota	5226.0	0	Eurotiales	4699.0	1	Aspergillaceae	4699.0	1	Aspergillus	2064.0	4	Aspergillus niger	2064.0	5
DRR031565_5_length_305_cov_82	305	0.4721	0	82.0	Eukaryota	5383.0	0	Ascomycota	3238.0	1	Onygenales	2177.0	3	Eukaryota-undef	2145.0	4	Eukaryota-undef	2145.0	4	uncultured fungus	2145.0	4
DRR031565_6_length_298_cov_231.989	298	0.5268	0	231.989	Bacteria	5261.0	0	Firmicutes	5261.0	0	Bacillales	5261.0	0	Bacillaceae	5261.0	0	Bacillus	5261.0	0	Bacillus simplex	3270.0	3
DRR031565_7_length_263_cov_33.1957	263	0.5513	0	33.196	Bacteria	4327.0	0	Firmicutes	3894.0	1	Bacillales	3894.0	1	Bacillaceae	3894.0	1	Bacillus	3470.0	2	Bacillus sp.	872.0	8
DRR031565_8_length_247_cov_144.925	247	0.5506	0	144.925	Bacteria	4430.0	0	Bacteria-undef	2218.0	1	Bacteria-undef	2218.0	1	Bacteria-undef	2218.0	1	Bacteria-undef	2218.0	1	uncultured bacterium	1338.0	7
DRR031566_1_length_202_cov_4.66272	202	0.5297	0	4.663	Bacteria	3692.0	0	Firmicutes	2944.0	1	Lactobacillales	2944.0	1	Streptococcaceae	2944.0	1	Lactococcus	2944.0	1	Lactococcus lactis	2576.0	2
DRR031567_1_length_1580_cov_60.3187	1580	0.5304	0	60.319	Bacteria	31006.0	0	Proteobacteria	31006.0	0	Rhizobiales	31006.0	0	Bartonellaceae	15710.0	2	Bartonella	15710.0	3	uncultured Rhizobiales bacterium	10620.0	7
DRR031567_2_length_441_cov_5.45098	441	0.4989	0	5.451	Bacteria	7328.0	0	Proteobacteria	7328.0	0	Proteobacteria-undef	3180.0	3	Proteobacteria-undef	3180.0	3	Proteobacteria-undef	3180.0	4	uncultured gamma proteobacterium	3180.0	4
DRR031567_3_length_406_cov_5.68365	406	0.5985	0	5.684	Bacteria	7230.0	0	Actinobacteria	7230.0	0	Bifidobacteriales	7230.0	0	Bifidobacteriaceae	7230.0	0	Bifidobacterium	7230.0	0	Bifidobacterium animalis	3505.0	3
DRR031567_4_length_352_cov_4.93103	352	0.571	0	4.931	Bacteria	6185.0	0	Actinobacteria	6185.0	0	Bifidobacteriales	6185.0	0	Bifidobacteriaceae	6185.0	0	Bifidobacterium	6185.0	0	uncultured Bifidobacterium sp.	2930.0	3
DRR031567_5_length_325_cov_3.47603	325	0.6092	0	3.476	Bacteria	5340.0	0	Actinobacteria	4745.0	1	Bifidobacteriales	4745.0	1	Bifidobacteriaceae	4745.0	1	Bifidobacterium	4745.0	1	uncultured Bifidobacterium sp.	2380.0	2
DRR031567_6_length_261_cov_17.4649	261	0.4943	0	17.465	Eukaryota	3996.0	0	Ascomycota	1611.0	3	Eukaryota-undef	1589.0	5	Eukaryota-undef	1589.0	5	Eukaryota-undef	1589.0	5	uncultured eukaryote	1191.0	6
DRR031567_7_length_259_cov_31.8496	259	0.5019	0	31.85	Eukaryota	4424.0	0	Eukaryota-undef	4424.0	0	Kinetoplastida	4424.0	0	Trypanosomatidae	4424.0	0	Leishmania	2784.0	2	Trypanosoma cruzi	1176.0	5
DRR031567_8_length_233_cov_34.86	233	0.4979	0	34.86	Eukaryota	3664.0	0	Eukaryota-undef	3664.0	0	Kinetoplastida	3664.0	0	Trypanosomatidae	3664.0	0	Crithidia	1293.0	3	Crithidia mellificae	1293.0	4
DRR031567_9_length_233_cov_5.835	233	0.6009	0	5.835	Bacteria	4275.0	0	Actinobacteria	3844.0	1	Bifidobacteriales	3844.0	1	Bifidobacteriaceae	3844.0	1	Bifidobacterium	3844.0	1	Bifidobacterium thermophilum	1700.0	6
DRR031567_10_length_184_cov_35.106	184	0.4457	0	35.106	Eukaryota	2275.0	0	Eukaryota-undef	2275.0	0	Kinetoplastida	2275.0	0	Trypanosomatidae	2275.0	0	Lotmaria	1700.0	1	Lotmaria passim	1700.0	2
